SPY,XLK,XLV,XLE,sharpe,return_pct,max_dd_pct
0.05,0.0,0.3,0.65,1.52722346365713,1575.9105979851686,-17.315742466779792
0.05,0.0,0.35,0.6,1.5812635892261533,1553.6123395145712,-16.472104769064455
0.05,0.0,0.4,0.55,1.6340479388988114,1529.7045528101823,-15.622645968667271
0.05,0.0,0.45,0.5,1.6839368032729372,1504.2654761135943,-14.779809993460102
0.05,0.0,0.5,0.45,1.728939709166003,1477.3774781508362,-14.054174564013655
0.05,0.0,0.55,0.4,1.766799554437033,1449.1266172698286,-13.324796840051379
0.05,0.0,0.6,0.35,1.7951661374249905,1419.6021864387274,-12.591682988829689
0.05,0.0,0.65,0.3,1.811858431814611,1388.8962474429272,-11.854839485790636
0.05,0.0,0.7,0.25,1.8151803335377505,1357.1031576486826,-11.114273116248185
0.05,0.0,0.75,0.2,1.8042178257586792,1324.3190927004923,-10.616509012714047
0.05,0.0,0.8,0.15,1.7790287983840571,1290.6415684877998,-10.329252173418968
0.05,0.0,0.85,0.1,1.7406587404812566,1256.1689656560732,-10.689096315045255
0.05,0.0,0.9,0.05,1.6909728149112306,1221.0000598477486,-11.284479189256801
0.05,0.0,0.95,0.0,1.63235851281154,1185.233560742829,-12.062083329980588
0.05,0.05,0.0,0.9,1.313862723425164,1862.9923361805477,-20.766493505592376
0.05,0.05,0.05,0.85,1.3634598456426883,1848.6885274626507,-19.944505938781987
0.05,0.05,0.1,0.8,1.4156334915181816,1832.2307602070932,-19.116686014583284
0.05,0.05,0.15,0.75,1.4701732256758986,1813.6751699830559,-18.283024135091676
0.05,0.05,0.2,0.7,1.5266940178524133,1793.0846567418585,-17.443511075357478
0.05,0.05,0.25,0.65,1.5845784338837277,1770.5285318527228,-16.598137987525785
0.05,0.05,0.3,0.6,1.6429125951219674,1746.082131911739,-15.746896404966282
0.05,0.05,0.35,0.55,1.7004242770465297,1719.826402316463,-14.889778246390728
0.05,0.05,0.4,0.5,1.7554386699323397,1691.847453806619,-14.064949627179868
0.05,0.05,0.45,0.45,1.8058755470489407,1662.2360953478171,-13.33306880138555
0.05,0.05,0.5,0.4,1.8493174284304639,1631.0873468793893,-12.597411900102774
0.05,0.05,0.55,0.35,1.8831755016288778,1598.4999355572718,-11.85798512729347
0.05,0.05,0.6,0.3,1.9049613203406164,1564.5757791976798,-11.11479499776058
0.05,0.05,0.65,0.25,1.9126352798451474,1529.4194606692986,-10.367848338850882
0.05,0.05,0.7,0.2,1.9049578900637074,1493.137696986404,-9.796252798866634
0.05,0.05,0.75,0.15,1.8817416321944382,1455.8388068282225,-9.575818531590862
0.05,0.05,0.8,0.1,1.8439154936702091,1417.632180148745,-9.967767977944087
0.05,0.05,0.85,0.05,1.7933746510226793,1378.627753447466,-10.372854565257617
0.05,0.05,0.9,0.0,1.7326648578562118,1338.9354941492518,-11.02248157756035
0.05,0.1,0.0,0.85,1.4043435274508518,2071.251967569696,-19.253593658749246
0.05,0.1,0.05,0.8,1.458877360273275,2053.43061993191,-18.418352505558044
0.05,0.1,0.1,0.75,1.5160609786952741,2033.2617443405497,-17.57721405690882
0.05,0.1,0.15,0.7,1.5755496896664316,2010.8138088478381,-16.730168967117663
0.05,0.1,0.2,0.65,1.6367665174536574,1986.1624999199971,-15.877208270892885
0.05,0.1,0.25,0.6,1.698832930263197,1959.390300034092,-15.018323387503996
0.05,0.1,0.3,0.55,1.7604982597549865,1930.5860309192472,-14.153506124941773
0.05,0.1,0.35,0.5,1.8200826024532946,1899.8443659608813,-13.346994168979842
0.05,0.1,0.4,0.45,1.8754572389770847,1867.2653154875882,-12.60883849144755
0.05,0.1,0.45,0.4,1.9240946152441563,1832.953688830185,-11.86687277660683
0.05,0.1,0.5,0.35,1.9632203047516166,1797.0185371711555,-11.121103265095178
